track_title,id,artist,hotness,genre,genreid,year
Every Little Thing I Do,45,Soul For Real,56,R&B,7,1995
2 Become 1,35,Spice Girls,66,Pop,5,1997
Say You’ll Be There,28,Spice Girls,73,Pop,5,1997
Wannabe,10,Spice Girls,91,Pop,5,1997
Dream About You-Funky Melody,92,Stevie B,9,R&B,7,1995
This Lil’ Game We Play,68,Subway,33,R&B,7,1995
Someone,88,SWV,13,R&B,7,1997
Back For Good,62,Take That,39,Pop,5,1995
Semi-Charmed Life,17,Third Eye Blind,84,Alternative,1,1997
It’s Your Love,40,Tim McGraw and Faith Hill,61,Country,2,1997
Creep,3,TLC,98,R&B,7,1995
Red Light Special,28,TLC,73,R&B,7,1995
Waterfalls,2,TLC,99,R&B,7,1995
You Don’t Know How It Feels,61,Tom Petty,40,Rock,8,1995
I Don’t Want To / I Love Me Some Him,59,Toni Braxton,42,R&B,7,1997
Un-Break My Heart,4,Toni Braxton,97,Pop,5,1997
You’re Makin’ Me High / Let It Flow,98,Toni Braxton,3,Pop,5,1997
Can’t You See,66,Total,35,R&B,7,1995
What About Us,74,Total,27,Hip hop,4,1997
"Hold Me, Thrill Me, Kiss Me, Kill Me",81,U2,20,Alternative,1,1995
You Make Me Wanna…,14,Usher,87,R&B,7,1997
Can’t Stop Lovin’ You,100,Van Halen,1,Rock,8,1995
Colors Of The Wind,31,Vanessa Williams,70,R&B,7,1995
The Sweetest Days,75,Vanessa Williams,26,R&B,7,1995
ESPN Presents The Jock Jam,72,Various Artists,29,Hip hop,4,1997
The Freshmen,21,Verve Pipe,80,Alternative,1,1997
I Shot The Sheriff,85,Warren G,16,Hip hop,4,1997
Your Woman,65,White Town,36,Alternative,1,1997
I Believe In You And Me,33,Whitney Houston,68,R&B,7,1997
