track_title,id,artist,hotness,genre,genreid,year
Slow Motion,87,Color Me Badd,14,R&B,7,1992
Thinkin’ Back,89,Color Me Badd,12,R&B,7,1992
Would I Lie To You?,90,Charles and Eddie,11,R&B,7,1992
Keep Coming Back,92,Richard Marx,9,R&B,7,1992
Free Your Mind,93,En Vogue,8,R&B,7,1992
Keep It Comin’,94,Keith Sweat,7,R&B,7,1992
We Got A Love Thang,97,CeCe Peniston,4,R&B,7,1992
Tears In Heaven,6,Eric Clapton,95,Rock,8,1992
To Be With You,12,Mr. Big,89,Rock,8,1992
November Rain,17,Guns N’ Roses,84,Rock,8,1992
Life Is A Highway,18,Tom Cochrane,83,Rock,8,1992
Sometimes Love Just Ain’t Enough,22,Patty Smyth,79,Rock,8,1992
Don’t Let The Sun Go Down On Me,26,George Michael and Elton John,75,Rock,8,1992
Bohemian Rhapsody,39,Queen,62,Rock,8,1992
I Can’t Dance,55,Genesis,46,Rock,8,1992
Hazard,56,Richard Marx,45,Rock,8,1992
One,60,U2,41,Rock,8,1992
No Son Of Nine,68,Genesis,33,Rock,8,1992
Everything About You,72,Ugly Kid Joe,29,Rock,8,1992
Thought I’d Died And Gone To Heaven,74,Bryan Adams,27,Rock,8,1992
Take This Heart,81,Richard Marx,20,Rock,8,1992
When I Look Into Your Eyes,82,Firehouse,19,Rock,8,1992
Just Take My Heart,95,Mr. Big,6,Rock,8,1992
Let’s Get Rocked,98,Def Leppard,3,Rock,8,1992
Runaway Train,22,Soul Asylum,79,Alternative,1,1993
Two Princes,28,Spin Doctors,73,Alternative,1,1993
What’s Up,50,4 Non Blondes,51,Alternative,1,1993
Break It Down Again,91,Tears For Fears,10,Alternative,1,1993
Hey Jealousy,95,Gin Blossoms,6,Alternative,1,1993
When She Cries,76,Restless Heart,25,Country,2,1993
Rhythm Is A Dancer,25,Snap,76,EDM,3,1993
More And More,79,Captain Hollywood Project,22,EDM,3,1993
What Is Love,82,Haddaway,19,EDM,3,1993
Whoomp! (There It Is),2,Tag Team,99,Hip hop,4,1993
Rump Shaker,9,Wreckx-N-Effect,92,Hip hop,4,1993
Nuthin’ But A “G” Thang,11,Dr. Dre,90,Hip hop,4,1993
Dazzey Duks,16,Duice,85,Hip hop,4,1993
Ditty,24,Paperboy,77,Hip hop,4,1993
Mr. Wendal,31,Arrested Development,70,Hip hop,4,1993
Slam,37,Onyx,64,Hip hop,4,1993
"Whoot, There It Is",44,95 South,57,Hip hop,4,1993
Hip Hop Hooray,45,Naughty By Nature,56,Hip hop,4,1993
Dre Day,53,Dr. Dre,48,Hip hop,4,1993
I Get Around,56,2Pac,45,Hip hop,4,1993
What About Your Friends,62,TLC,39,Hip hop,4,1993
I Got A Man,63,Positive K,38,Hip hop,4,1993
Insane In The Brain,65,Cypress Hill,36,Hip hop,4,1993
Boom! Shake The Room,75,Jazzy Jeff and Fresh Prince,26,Hip hop,4,1993
It Was A Good Day,78,Ice Cube,23,Hip hop,4,1993
Rebirth Of Slick (Cool Like Dat),81,Digable Planets,20,Hip hop,4,1993
Alright,85,Kris Kross,16,Hip hop,4,1993
Check Yo Self,86,Ice Cube,15,Hip hop,4,1993
Forever In Love,73,Kenny G,28,Jazz,12,1993
Dreamlover,8,Mariah Carey,93,Pop,5,1993
Show Me Love,17,Robin S.,84,Pop,5,1993
A Whole New World,18,Peabo Bryson and Regina Belle,83,Pop,5,1993
If,19,Janet Jackson,82,Pop,5,1993
I’ll Never Get Over You (Getting Over Me),23,Expose,78,Pop,5,1993
Saving Forever For You,33,Shanice,68,Pop,5,1993
I’m Every Woman,39,Whitney Houston,62,Pop,5,1993
I Don’t Wanna Fight,42,Tina Turner,59,Pop,5,1993
Will You Be There,47,Michael Jackson,54,Pop,5,1993
All That She Wants,51,Ace Of Base,50,Pop,5,1993
